departamento,municipio,edad,sexo,fecha_deceso,fecha_registro,decesos
beni,guayaramerin,20-39,F,2021-04-01,2021-04-06,1
beni,guayaramerin,20-39,F,2022-01-01,2022-01-18,1
beni,guayaramerin,20-39,M,2020-06-01,2020-12-28,2
beni,guayaramerin,40-49,F,2021-02-01,2021-02-25,1
beni,guayaramerin,40-49,F,2021-03-01,2021-03-13,1
beni,guayaramerin,40-49,F,2021-03-01,2021-03-31,1
beni,guayaramerin,40-49,F,2021-04-01,2021-04-06,1
beni,guayaramerin,40-49,F,2021-04-01,2021-04-15,1
beni,guayaramerin,40-49,M,2020-06-01,2020-12-28,1
beni,guayaramerin,40-49,M,2021-03-01,2021-03-08,1
beni,guayaramerin,40-49,M,2021-04-01,2021-04-13,1
beni,guayaramerin,40-49,M,2021-05-01,2021-05-25,1
beni,guayaramerin,50-59,F,2020-06-01,2020-12-28,2
beni,guayaramerin,50-59,F,2021-02-01,2021-02-22,1
beni,guayaramerin,50-59,F,2021-03-01,2021-03-23,1
beni,guayaramerin,50-59,F,2021-03-01,2021-03-30,1
beni,guayaramerin,50-59,F,2021-04-01,2021-04-13,1
beni,guayaramerin,50-59,F,2021-04-01,2021-04-20,1
beni,guayaramerin,50-59,M,2020-05-01,2020-12-28,1
beni,guayaramerin,50-59,M,2020-06-01,2020-12-28,5
beni,guayaramerin,50-59,M,2020-07-01,2020-12-28,1
beni,guayaramerin,50-59,M,2021-01-01,2021-02-01,2
beni,guayaramerin,50-59,M,2021-02-01,2021-02-11,1
beni,guayaramerin,50-59,M,2021-03-01,2021-03-02,1
beni,guayaramerin,50-59,M,2021-04-01,2021-04-13,1
beni,guayaramerin,50-59,M,2021-04-01,2021-04-21,1
beni,guayaramerin,50-59,M,2021-04-01,2021-04-22,1
beni,guayaramerin,50-59,M,2021-04-01,2021-04-27,1
beni,guayaramerin,50-59,M,2021-05-01,2021-05-17,1
beni,guayaramerin,>= 60,F,2020-05-01,2020-12-28,1
beni,guayaramerin,>= 60,F,2020-06-01,2020-12-28,7
beni,guayaramerin,>= 60,F,2020-08-01,2020-12-28,1
beni,guayaramerin,>= 60,F,2021-01-01,2021-01-20,1
beni,guayaramerin,>= 60,F,2021-01-01,2021-01-21,2
beni,guayaramerin,>= 60,F,2021-02-01,2021-02-08,1
beni,guayaramerin,>= 60,F,2021-02-01,2021-03-01,1
beni,guayaramerin,>= 60,F,2021-03-01,2021-03-11,1
beni,guayaramerin,>= 60,F,2021-03-01,2021-03-25,1
beni,guayaramerin,>= 60,F,2021-03-01,2021-03-30,3
beni,guayaramerin,>= 60,F,2021-04-01,2021-04-13,1
beni,guayaramerin,>= 60,M,2020-06-01,2020-12-28,10
beni,guayaramerin,>= 60,M,2020-06-01,2021-01-11,2
beni,guayaramerin,>= 60,M,2020-07-01,2020-12-28,2
beni,guayaramerin,>= 60,M,2020-07-01,2021-01-11,-2
beni,guayaramerin,>= 60,M,2021-01-01,2021-01-11,1
beni,guayaramerin,>= 60,M,2021-01-01,2021-01-29,1
beni,guayaramerin,>= 60,M,2021-02-01,2021-02-25,1
beni,guayaramerin,>= 60,M,2021-03-01,2021-03-16,1
beni,guayaramerin,>= 60,M,2021-03-01,2021-03-24,1
beni,guayaramerin,>= 60,M,2021-03-01,2021-03-30,2
beni,guayaramerin,>= 60,M,2021-03-01,2021-03-31,1
beni,guayaramerin,>= 60,M,2021-04-01,2021-04-01,1
beni,guayaramerin,>= 60,M,2021-04-01,2021-04-06,1
beni,guayaramerin,>= 60,M,2021-04-01,2021-04-13,4
beni,guayaramerin,>= 60,M,2021-04-01,2021-04-26,1
beni,guayaramerin,>= 60,M,2021-06-01,2021-06-04,1
beni,guayaramerin,>= 60,M,2022-01-01,2022-01-10,1
beni,municipio,>= 60,M,2021-06-01,2021-09-16,1
beni,reyes,40-49,F,2021-12-01,2022-04-14,1
beni,reyes,50-59,M,2020-08-01,2021-01-11,1
