cod_ine,rango_edad,sexo,fecha,decesos
10101,0-19,F,2017-01-05,1
10101,0-19,F,2017-01-26,1
10101,0-19,F,2017-02-02,1
10101,0-19,F,2017-02-09,1
10101,0-19,F,2017-02-16,1
10101,0-19,F,2017-04-20,1
10101,0-19,F,2017-05-11,2
10101,0-19,F,2017-06-01,1
10101,0-19,F,2017-06-29,1
10101,0-19,F,2017-07-27,2
10101,0-19,F,2017-08-03,1
10101,0-19,F,2017-08-10,1
10101,0-19,F,2017-08-31,1
10101,0-19,F,2017-09-07,1
10101,0-19,F,2017-10-12,3
10101,0-19,F,2017-11-30,1
10101,0-19,F,2017-12-14,1
10101,0-19,F,2018-01-04,1
10101,0-19,F,2018-02-08,1
10101,0-19,F,2018-03-15,2
10101,0-19,F,2018-03-22,2
10101,0-19,F,2018-04-05,1
10101,0-19,F,2018-04-12,1
10101,0-19,F,2018-05-31,1
10101,0-19,F,2018-06-21,1
10101,0-19,F,2018-07-05,2
10101,0-19,F,2018-08-02,2
10101,0-19,F,2018-08-09,1
10101,0-19,F,2018-08-16,1
10101,0-19,F,2018-09-06,1
10101,0-19,F,2018-09-13,2
10101,0-19,F,2018-10-18,1
10101,0-19,F,2018-11-01,1
10101,0-19,F,2018-11-22,1
10101,0-19,F,2018-11-29,1
10101,0-19,F,2018-12-06,1
10101,0-19,F,2018-12-13,1
10101,0-19,F,2019-01-17,1
10101,0-19,F,2019-02-28,1
10101,0-19,F,2019-03-07,1
10101,0-19,F,2019-04-18,1
10101,0-19,F,2019-05-23,2
10101,0-19,F,2019-05-30,1
10101,0-19,F,2019-06-20,1
10101,0-19,F,2019-06-27,1
10101,0-19,F,2019-07-11,1
10101,0-19,F,2019-07-18,1
10101,0-19,F,2019-08-29,1
10101,0-19,F,2019-09-19,1
10101,0-19,F,2019-10-03,2
10101,0-19,F,2019-10-17,1
10101,0-19,F,2019-10-31,1
10101,0-19,F,2019-11-07,1
10101,0-19,F,2019-11-14,1
10101,0-19,F,2019-11-21,1
10101,0-19,F,2019-11-28,2
10101,0-19,F,2019-12-05,1
